,batter,rating,deliveries
65,AU Rashid,1006.9999999999998,34
66,AUK Pathan,973.5999999999998,52
67,Abdul Basith,998.9,2
68,Abdul Samad,995.9000000000024,816
69,Abdur Razzak,999.3999999999999,4
70,Abhishek Sharma,1071.0000000000025,1850
71,Abishek Porel,1036.0000000000002,488
72,Akash Deep,1011.4999999999997,24
73,Akash Madhwal,1006.0999999999997,10
74,Aman Hakim Khan,987.9999999999987,218
75,Anirudh Singh,963.5999999999997,138
76,Ankit Sharma,995.3999999999993,138
77,Ankit Soni,992.2999999999998,18
78,Anmolpreet Singh,971.8999999999999,234
79,Anuj Rawat,963.8000000000001,552
80,Anureet Singh,959.8999999999996,94
81,Arjun Tendulkar,1000.6999999999998,18
82,Arshad Khan,1049.7999999999997,134
83,Arshad Khan (2),997.4000000000001,8
84,Arshdeep Singh,1009.9999999999992,84
85,Ashutosh Sharma,1045.0999999999979,236
86,Atharva Taide,1027.1999999999998,354
87,Avesh Khan,1037.9,50
88,Azhar Mahmood,1002.700000000002,622
89,Azmatullah Omarzai,983.3000000000002,68
90,B Akhil,961.7000000000007,114
91,B Chipli,925.2999999999996,512
92,B Indrajith,961.6000000000007,62
93,B Kumar,921.9999999999992,676
94,B Laughlin,990.7999999999996,26
95,B Lee,980.7999999999994,204
96,B Sai Sudharsan,1067.7000000000073,1540
97,B Stanlake,1008.4,4
98,B Sumanth,987.8,76
99,BA Bhatt,1011.4999999999994,14
100,BA Stokes,1007.7999999999973,1436
101,BAW Mendis,975.6,12
102,BB McCullum,1007.0000000000001,4544
103,BB Samantray,1003.0000000000003,232
104,BB Sran,980.2000000000002,28
105,BCJ Cutting,1033.500000000002,292
106,BE Hendricks,991.8999999999999,6
107,BJ Haddin,992.1999999999997,22
108,BJ Hodge,1022.6000000000031,2306
109,BJ Rohrer,1008.1000000000003,292
110,BMAJ Mendis,960.1000000000004,54
111,BR Dunk,979.3999999999999,72
112,BR Sharath,984.5000000000002,10
113,Basil Thampi,978.1999999999994,74
114,Bipul Sharma,1048.300000000002,248
115,C Green,1039.1000000000051,944
116,C Madan,977.3000000000008,42
117,C Munro,986.9000000000002,288
118,C Nanda,989.2,2
119,C Sakariya,961.6999999999999,62
120,C de Grandhomme,1015.0000000000002,458
121,CA Ingram,963.9999999999997,366
122,CA Lynn,1050.700000000008,1948
123,CA Pujara,921.2999999999997,806
124,CH Gayle,1003.200000000008,7032
125,CH Morris,1010.4000000000024,826
126,CJ Anderson,970.300000000001,872
127,CJ Ferguson,933.9999999999992,238
128,CJ Jordan,966.2999999999989,162
129,CJ McKay,982.1000000000004,30
130,CK Kapugedera,959.0999999999998,48
131,CK Langeveldt,988.3999999999999,18
132,CL White,976.7999999999994,1548
133,CM Gautam,959.200000000002,316
134,CR Brathwaite,1004.6000000000007,240
135,CR Woakes,980.4999999999998,154
136,CRD Fernando,992.9999999999999,6
137,CV Varun,1006.5999999999985,98
138,D Brevis,1003.2000000000014,352
139,D Ferreira,983.1999999999999,22
140,D Kalyankrishna,990.2999999999998,16
141,D Padikkal,938.4999999999981,2646
142,D Pretorius,1017.0000000000001,56
143,D Salunkhe,1017.9000000000003,48
144,D Wiese,1034.0000000000014,210
145,D du Preez,989.0999999999999,26
146,DA Miller,998.4999999999991,4342
147,DA Warner,1007.8000000000167,9698
148,DAJ Bracewell,1003.5000000000001,18
149,DB Das,986.8999999999995,534
150,DB Ravi Teja,949.2999999999985,650
151,DE Bollinger,1019.0000000000001,46
152,DG Nalkande,985.1000000000001,24
153,DH Yagnik,990.0000000000003,284
154,DJ Bravo,989.3000000000031,2494
155,DJ Harris,988.3999999999991,206
156,DJ Hooda,972.5999999999948,2340
157,DJ Hussey,993.0000000000006,2202
158,DJ Jacobs,916.200000000002,202
159,DJ Malan,995.5,52
160,DJ Mitchell,1007.8000000000002,548
161,DJ Muthuswami,995.5999999999999,6
162,DJ Thornely,946.7000000000006,108
163,DJ Willey,1011.5999999999991,128
164,DJG Sammy,983.2000000000024,502
165,DJM Short,978.8000000000006,204
166,DL Chahar,974.4000000000001,122
167,DL Vettori,947.0999999999998,236
168,DM Bravo,997.8000000000001,10
