,bowler,rating,deliveries
340,P Ray Barman,960.9999999999998,48
341,P Sahu,992.0000000000007,214
342,P Suyal,1006.2999999999995,214
343,PC Valthaty,1003.5999999999997,306
344,PD Collingwood,1043.699999999999,180
345,PH Solanki,1020.7000000000002,72
346,PJ Cummins,1045.5999999999956,2740
347,PJ Sangwan,1029.100000000001,1810
348,PM Sarvesh Kumar,992.7000000000005,62
349,PP Chawla,1066.5999999999701,7790
350,PP Ojha,1006.999999999994,3890
351,PV Tambe,1038.6999999999948,1348
352,PVD Chameera,988.7000000000023,594
353,PWH de Silva,1064.1999999999991,1114
354,Pankaj Singh,1004.800000000001,622
355,Parvez Rasool,978.4000000000015,400
356,R Ashwin,1072.2999999999665,9358
357,R Bhatia,1058.9999999999795,3322
358,R Dhawan,1032.399999999998,1386
359,R Goyal,991.8000000000003,48
360,R McLaren,981.0000000000011,744
361,R Ninan,993.9000000000003,72
362,R Parag,934.8999999999995,362
363,R Powell,1000.0000000000003,42
364,R Rampaul,1099.5999999999979,556
365,R Ravindra,1015.1000000000001,24
366,R Sai Kishore,1060.6000000000008,382
367,R Sanjay Yadav,992.9000000000002,28
368,R Sathish,981.0000000000003,288
369,R Sharma,1029.799999999996,1870
370,R Shepherd,957.8000000000008,266
371,R Shukla,1004.300000000001,260
372,R Tewatia,1004.9999999999944,1732
373,R Vinay Kumar,1015.9999999999948,4372
374,RA Jadeja,1052.5999999999792,7790
375,RA Shaikh,990.4000000000001,12
376,RA Tripathi,990.1000000000003,12
377,RD Chahar,1055.0999999999958,3394
378,RE van der Merwe,1137.2999999999972,910
379,RG More,1003.4999999999997,74
380,RG Sharma,1012.7999999999993,698
381,RJ Gleeson,986.7000000000004,102
382,RJ Harris,1096.4000000000005,1730
383,RJ Peterson,1019.0000000000007,96
384,RJW Topley,1005.7,214
385,RN ten Doeschate,1018.4999999999997,166
386,RP Meredith,1031.0999999999995,830
387,RP Singh,1051.5999999999992,3748
388,RR Bhatkal,963.4000000000003,24
389,RR Bose,980.1,24
390,RR Powar,1029.199999999995,886
391,RR Raje,1003.2999999999992,288
392,RS Bopara,1051.6,426
393,RS Gavaskar,997.5,12
394,RS Hangargekar,1024.8000000000009,86
395,RV Gomez,1016.6999999999999,194
396,RV Patel,1008.4000000000005,40
397,RW Price,971.5999999999999,36
398,Ramandeep Singh,1050.0999999999995,90
399,Rashid Khan,1037.9999999999654,5802
400,Rasikh Salam,978.9999999999994,414
401,Ravi Bishnoi,1048.1999999999957,2920
402,S Aravind,1053.8000000000002,1576
403,S Badree,1051.1999999999987,526
404,S Dhawan,1018.3999999999999,98
405,S Dube,998.9000000000002,234
406,S Gopal,1014.5000000000016,2000
407,S Joseph,999.6000000000005,60
408,S Kaul,1001.4999999999992,2476
409,S Kaushik,998.1999999999999,420
410,S Ladda,939.2000000000003,282
411,S Lamichhane,1040.4000000000024,422
412,S Midhun,980.6,26
413,S Nadeem,1031.7999999999902,2888
414,S Narwal,962.4999999999998,226
415,S Rana,1002.9999999999998,32
416,S Randiv,1003.0999999999995,360
417,S Sandeep Warrier,1035.8999999999994,352
418,S Sreesanth,1066.5999999999967,1894
419,S Sriram,950.8000000000001,36
420,S Tyagi,995.1000000000015,440
421,S Vidyut,1004.7000000000002,26
422,SA Abbott,975.3999999999997,118
423,SA Yadav,998.2000000000002,12
424,SB Bangar,984.3999999999997,306
425,SB Jakati,983.7999999999936,2202
426,SB Joshi,984.9000000000005,110
