Team,Score,Overs,RPO,Inns,Result,Opposition,Ground,Start Date
GT,231/3,20,11.55,1,won,v CSK,Ahmedabad,10-May-24
CSK,196/8,20,9.8,2,lost,v GT,Ahmedabad,10-May-24
KKR,157/7,16,9.81,1,won,v MI,Eden Gardens,11-May-24
MI,139/8,16,8.68,2,lost,v KKR,Eden Gardens,11-May-24
RR,141/5,20,7.05,1,lost,v CSK,Chennai,12-May-24
CSK,145/5,18.2,7.9,2,won,v RR,Chennai,12-May-24
RCB,187/9,20,9.35,1,won,v DC,Bengaluru,12-May-24
DC,140,19.1,7.3,2,lost,v RCB,Bengaluru,12-May-24
DC,208/4,20,10.4,1,won,v LSG,Delhi,14-May-24
LSG,189/9,20,9.45,2,lost,v DC,Delhi,14-May-24
RR,144/9,20,7.2,1,lost,v Punjab Kings,Guwahati,15-May-24
Punjab Kings,145/5,18.5,7.69,2,won,v RR,Guwahati,15-May-24
LSG,214/6,20,10.7,1,won,v MI,Wankhede,17-May-24
MI,196/6,20,9.8,2,lost,v LSG,Wankhede,17-May-24
RCB,218/5,20,10.9,1,won,v CSK,Bengaluru,18-May-24
CSK,191/7,20,9.55,2,lost,v RCB,Bengaluru,18-May-24
Punjab Kings,214/5,20,10.7,1,lost,v SRH,Hyderabad,19-May-24
SRH,215/6,19.1,11.21,2,won,v Punjab Kings,Hyderabad,19-May-24
RR,DNB,0,-,0,n/r,v KKR,Guwahati,19-May-24
KKR,DNB,0,-,0,n/r,v RR,Guwahati,19-May-24
SRH,159,19.3,8.15,1,lost,v KKR,Ahmedabad,21-May-24
KKR,164/2,13.4,12,2,won,v SRH,Ahmedabad,21-May-24
RCB,172/8,20,8.6,1,lost,v RR,Ahmedabad,22-May-24
RR,174/6,19,9.15,2,won,v RCB,Ahmedabad,22-May-24
SRH,175/9,20,8.75,1,won,v RR,Chennai,24-May-24
RR,139/7,20,6.95,2,lost,v SRH,Chennai,24-May-24
SRH,113,18.3,6.1,1,lost,v KKR,Chennai,26-May-24
KKR,114/2,10.3,10.85,2,won,v SRH,Chennai,26-May-24
